page_number,response_content
491,"```json
{
    ""Page Number"": 144,
    ""Content"": ""Advanced Concepts: Overbetting Pocket Pairs"",
    ""Graph Explanation"": ""The graph is a matrix showing various poker hand combinations for overbetting pocket pairs. The matrix lists cards from 'A' to '7' in both suited (s) and offsuit (o) categories. The matrix is color-coded with red indicating hands that are not recommended for overbetting, green for those that are, and some areas marked in black. An example from the matrix: 'AKs' (Ace-King suited) is red, suggesting it's not recommended, while '22' (pocket twos) is marked in green, suggesting it is recommended. Some specific suited combinations like 'A5s' (Ace-Five suited) and 'K5s' (King-Five suited) appear in green, indicating more favorable conditions for betting."",
    ""Questions"": ""Correct answer A: 22""
}
```"
492,"```json
{
  ""Page Number"": 144,
  ""Content"": ""When HJ overbets they narrow BB's range significantly. Hands like 99 and QQ are too strong to turn into bluffs.\n\nAA is so strong that it hard-blocks the majority of hands BB calls with, making it harder to extract value."",
  ""Graph Explanation"": ""The graph is a matrix representing the hand ranges BB (Big Blind) should consider when facing an overbet from HJ (Hijack). The matrix categorizes various starting hands and indicates whether they should be folded, called, or reraised. Hands like AA, KK, and QQ are highlighted, indicating their strength and the likelihood of continuing against an overbet. Other hands like offsuit connectors and weaker pairs are either not recommended for play or should be played more cautiously.""
}
```"
493,"```json
{
  ""Page Number"": 144,
  ""Content"": ""22 is weak enough to turn into a bluff, and it has backdoor straight draw potential.\n\nThis pair struggles to realize its equity through passive lines. It also unblocks more of CO's folding range.\n\nThese factors together make it a great bluffing candidate."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""Allin"",
      ""Percentage"": ""97.7"",
      ""Multiplier"": ""1602%""
    },
    ""graph2"": {
      ""Title"": ""Bet 9.15"",
      ""Percentage"": ""9.15"",
      ""Multiplier"": ""150%""
    },
    ""graph3"": {
      ""Title"": ""Bet 6.1"",
      ""Percentage"": ""6.1"",
      ""Multiplier"": ""100%""
    },
    ""graph4"": {
      ""Title"": ""Bet 4.05"",
      ""Percentage"": ""4.05"",
      ""Multiplier"": ""66%""
    },
    ""graph5"": {
      ""Title"": ""Bet 2"",
      ""Percentage"": ""2"",
      ""Multiplier"": ""33%""
    },
    ""graph6"": {
      ""Title"": ""Check"",
      ""Percentage"": ""0"",
      ""Subsequent Actions"": {
        ""Allin"": ""0"",
        ""Bet 9.15"": ""48.3"",
        ""Bet 6.1"": ""19.9"",
        ""Bet 4.05"": ""1.1"",
        ""Bet 2"": ""1.6"",
        ""Check"": ""29.1""
      }
    }
  }
}
```"
494,"```json
{
  ""page_number"": 145,
  ""content"": ""[HU Cash, 100bb] SB (IP) opens, BB calls. Flop and turn check through and the board runs out A♠ 7♠ 6♥ 4♠ 6♣. BB block-bets 30% pot. What's the weakest hand SB can raise for value?"",
  ""questions"": ""What's the weakest hand SB can raise for value?"",
  ""graph_explanation"": {
    ""graph1"": {
      ""flop"": ""A♠ 7♠ 6♥"",
      ""turn"": ""4♠"",
      ""river"": ""6♣"",
      ""positions"": {
        ""SB"": {
          ""flop_actions"": [""Check""],
          ""turn_actions"": [""Bet 1.65 (33%)"", ""Bet 3.35 (67%)"", ""Bet 5 (100%)"", ""Bet 7.5 (150%)"", ""Bet 12.5 (250%)""],
          ""river_actions"": [""Fold"", ""Call"", ""Raise 5.5 (50%)"", ""Raise 8.5 (88%)"", ""Raise 11.5 (125%)"", ""All-in 97.5 (1200%)""]
        },
        ""BB"": {
          ""flop_actions"": [""Check""],
          ""turn_actions"": [""Bet 1.65 (33%)"", ""Bet 3.35 (67%)"", ""Check""],
          ""river_actions"": [""Check"", ""Bet 1.5 (30%)"", ""Bet 4"", ""Bet 7.5"", ""All-in 97.5 (1950%)""]
        }
      }
    }
  }
}
```"
495,"```json
{
  ""Page Number"": 145,
  ""Content"": ""HOW THIN SHOULD YOU RAISE THE RIVER?"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""HANDS"",
      ""Data"": [
        {""Hand"": ""Fullhouse"", ""Percentage"": ""1%""},
        {""Hand"": ""Flush"", ""Percentage"": ""1.3%""},
        {""Hand"": ""Straight"", ""Percentage"": ""0%""},
        {""Hand"": ""Trips"", ""Percentage"": ""9.2%""},
        {""Hand"": ""Top pair"", ""Percentage"": ""12.7%""},
        {""Hand"": ""Underpair"", ""Percentage"": ""3.4%""},
        {""Hand"": ""Second pair"", ""Percentage"": ""8.6%""},
        {""Hand"": ""Low pair"", ""Percentage"": ""15.4%""},
        {""Hand"": ""King high"", ""Percentage"": ""27.7%""},
        {""Hand"": ""No made hand"", ""Percentage"": ""20.7%""}
      ],
      ""Explanation"": ""The graph shows the distribution of possible hands with their respective percentages.""
    }
  },
  ""Questions"": ""Correct answer\nC: Top Pair\nSpecifically top pair with a kicker higher than a 7.""
}
```"
496,"```json
{
  ""Page Number"": 145,
  ""Content"": ""BB's block bet is comprised primarily of 2nd pair for value. That means that top pair can target 7x hands for indifference."",
  ""Graph Explanation"": {
    ""Graph1"": ""The matrix displays a variety of poker hands categorized into combinations and possible actions. It uses color coding to indicate different strengths or actions: red, green, and blue. The hands are organized in a grid from AA (pocket Aces) to 22 (pocket Twos), including combinations like AKs (Ace-King suited), AKo (Ace-King offsuit), and so on. The graph suggests the nature of each hand's action potential during post-flop play based on the color modulation.""
  }
}
```"
497,"```json
{
  ""Page Number"": 145,
  ""Content"": ""Most of BB's top pair would have bet earlier streets, so the river block is mostly composed of second pair hands.\n\nThe wide ranges and passive line mean a hand like A8o has nearly 90% equity facing this bet."",
  ""Graph Explanation"": ""The graph titled 'BB block-betting strategy' explains the distribution of hand types in a block-betting strategy. The breakdown is as follows: Fullhouse: 3.9%, Flush: 4.6%, Straight: 3.1%, Trips: 0.9%, Top pair: 3.6%, Second pair: 55.3%, Low pair: 8%, No made hand: 20.5%. The graph highlights that the majority of the range is made up of second pair hands.""
}
```"
498,"```json
{
  ""Page Number"": 146,
  ""Content"": ""[Theory] Billy \""The Maniac\"" Bob is a professional player with a 5 bb/100 win rate. Billy's aggressive style results in more variance, so he has a standard deviation of 120 bb/100. He plays with a 20 buy-in bankroll, buying in for 100bb at a time. Poker is his only form of income, and he refuses to move down stakes when he runs bad."",
  ""Questions"": ""What is the probability that Billy busts his bankroll?"",
  ""Graph Explanation"": null
}
```"
499,"```json
{
  ""Page Number"": 146,
  ""Content"": ""Advanced Concepts RISK OF RUIN"",
  ""Questions"": ""Correct answer D: 25%"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""title"": ""How Big Should Your Poker Bankroll Be?"",
      ""sections"": [
        {
          ""header"": ""Enter Data"",
          ""details"": {
            ""Win Rate"": ""5"",
            ""Standard Deviation"": ""120"",
            ""Risk of Ruin (%)"": ""25""
          }
        },
        {
          ""header"": ""Results"",
          ""details"": {
            ""Win Rate"": ""5"",
            ""Standard Deviation"": ""120"",
            ""Risk of Ruin"": ""25%"",
            ""Required Bankroll"": ""1,996.26""
          }
        }
      ],
      ""risk_of_ruin_table"": [
        {""Risk of Ruin"": ""50%"", ""Bankroll Required"": ""998.13""},
        {""Risk of Ruin"": ""25%"", ""Bankroll Required"": ""1,996.26""},
        {""Risk of Ruin"": ""10%"", ""Bankroll Required"": ""3,115.72""},
        {""Risk of Ruin"": ""5%"", ""Bankroll Required"": ""4,313.85""},
        {""Risk of Ruin"": ""2%"", ""Bankroll Required"": ""5,633.13""},
        {""Risk of Ruin"": ""1%"", ""Bankroll Required"": ""6,631.45""},
        {""Risk of Ruin"": ""0.5%"", ""Bankroll Required"": ""7,629.58""},
        {""Risk of Ruin"": ""0.1%"", ""Bankroll Required"": ""9,947.17""},
        {""Risk of Ruin"": ""0.01%"", ""Bankroll Required"": ""13,262.89""}
      ]
    }
  }
}
```"
500,"```json
{
  ""Page Number"": 146,
  ""Content"": ""Risk of Ruin is the concept that you can run out of money which prevents you from generating profit in the future.\n\nManaging RoR is an essential component of good bankroll management.""
}
```"
501,"```json
{
  ""Page Number"": 146,
  ""Content"": ""Need $ to make more $\n\nBilly's aggressive (high variance) style, refusal to drop down stakes, and 20BI bankroll are a recipe for busto. Good bankroll management is especially important when your bankroll is not refillable.\n\nYour goal is to maximize the long run, and in order to do that effectively, you need to ensure you have enough money to keep making money.""
}
```"
502,"```json
{
  ""Page Number"": 147,
  ""Content"": ""[HU SnG Theory] You play HU SnG and average a 5% return on investment (ROI). Your bankroll is $1000. What stakes should you play to grow your bankroll as quickly as possible? A: $100 buy-in B: $50 buy-in C: $25 buy-in D: $10 buy-in"",
  ""Questions"": ""You play HU SnG and average a 5% return on investment (ROI). Your bankroll is $1000. What stakes should you play to grow your bankroll as quickly as possible?""
}
```"
503,"```json
{
  ""Page Number"": 147,
  ""Graph Explanation"": {
    ""Description"": ""The graph displays the relationship between risk and return, categorizing different strategies as 'Conservative,' 'Aggressive,' 'Insane,' and 'Suicidal.' Each strategy is represented by a bar indicating its risk and return level. The 'Conservative' strategy has the lowest risk and return, marked in blue. The 'Aggressive' strategy, in green, shows moderate risk and a significant return. The 'Insane' strategy is represented in red, indicating high risk and high return. Lastly, the 'Suicidal' strategy is beyond the risk measure, with no return shown, depicted in gray.""
  },
  ""Questions"": ""Correct answer: B: $50 buy-in""
}
```"
504,"```json
{
  ""page_number"": 147,
  ""content"": ""The Kelly Criterion was designed to answer exactly this kind of question.\n\nIt tells you what portion of your bankroll to wager in order to maximize long-term growth.\n\nSo how much should you wager to maximize growth without blowing up your bankroll?"",
  ""graph_explanation"": {
    ""graph1"": {
      ""equation"": ""f* = p - q/b = p + P - 1/b"",
      ""details"": {
        ""f*"": ""the fraction of the current bankroll to wager."",
        ""p"": ""the probability of a win."",
        ""q"": ""the probability of a loss (q = 1 - p)."",
        ""b"": ""the proportion of the bet gained with a win. E.g., If betting $10 on a 2-to-1 odds bet, (upon win you are returned $30, winning you $20), then b = $20/$10 = 2.0.""
      }
    }
  }
}
```"
505,"```json
{
  ""pageNumber"": 147,
  ""content"": ""Hero has a 5% ROI, so we can imagine each SnG as flipping a coin with a 52.5% chance of winning and a 1:1 payoff (b=1).\n\nPlugging this into the equation f* = 5%. In other words, if you have a 5% edge, you should wager 5% of your bankroll.\n\nThis formula can apply to all forms of poker including ring games, although the math is more complex converting bb/100 to edge.\n\nAs a poker player, you can use this concept to create extremely powerful and mathematically precise bankroll strategies.""
}
```"
506,"```json
{
  ""Page Number"": 147,
  ""Content"": ""Advanced Concepts\nKELLY CRITERION\nNever go full Kelly\nOne thing to keep in mind is that you need to refresh this calculation each time your edge or bankroll changes.\nMost investors and professional gamblers do not recommend Full-Kelly, and instead, opt for Half-Kelly or even Quarter-Kelly strategies in order to reduce risk and account for unstable edges.\nYou can capture 75% of the growth with a 50% kelly bet. So although a $50 buy-in is the correct answer, a $25 buy-in is perhaps a better answer in practice.""
}
```"
507,"```json
{
  ""Page Number"": 148,
  ""Content"": ""[Advanced Concepts] STRATEGIC DOMINATION\n\n[Theory] You are playing a home game where there are no blinds or antes. How wide should your opening range be on the BTN?\n\nA: Any two\nB: ~43%\nC: Only AA\nD: Nothing"",
  ""Graph Explanation"": ""The graph presented illustrates a poker table layout with positions marked as CO (Cutoff), BTN (Button), SB (Small Blind), BB (Big Blind), UTG (Under the Gun), and HJ (Hijack). The table is depicted as a circle, indicating the seating positions around a poker table. The BTN position is highlighted, showing a focus on strategic actions from this seat. Notably, there are no monetary values assigned to the blinds, indicating a scenario with $0 bets on both SB and BB, consistent with the no blinds or antes setup mentioned in the theory section.""
}
```"
508,"```json
{
    ""Page Number"": 148,
    ""Content"": ""Advanced Concepts STRATEGIC DOMINATION"",
    ""Graph Explanation"": {
        ""graph1"": {
            ""Description"": ""The graph visually displays two cards: Ace of spades (A♠) and Ace of diamonds (A♦) indicating a pair of aces which is a strong starting hand in poker.""
        }
    },
    ""Questions"": ""Correct answer: C: Only AA""
}
```"
509,"```json
{
  ""Page Number"": 148,
  ""Content"": ""Any bet is infinite relative to the (non-existent) pot. You should only open hands that are stronger than what will call, and your opponents should only defend hands that are stronger than you open.\n\nThis creates a feedback loop that leads the optimal strategy to be as tight as possible.\n\nOpening AA and opening nothing is the same EV facing optimal opponents.""
}
```"
510,"```json
{
  ""Page Number"": 148,
  ""Content"": ""The blinds are what cause you to play hands in the first place.\n\nWithout the blinds, there would be no reason to play.\n\nThis is why ante games, lack of rake, or other dead money in the pot incentivize you to play more hands."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
511,"```json
{
  ""Page Number"": 510,
  ""Content"": ""Why isn't answer D: correct?\n\nIn game theory, we use a concept called \""strategic dominance\"" to differentiate between strategies. A \""weakly dominant\"" strategy is one that results in at least the same payoff against perfect opposition, and sometimes better if the opponent can make a mistake.\n\nShoving AA is always at least as good as folding, and the opponent can only make mistakes by calling too wide, so betting weakly dominates checking."",
  ""Questions"": ""Why isn't answer D: correct?""
}
```"
512,"```json
{
  ""Page Number"": 149,
  ""Content"": ""[Theory] Your opponent makes a pot-sized shove on the river. You know that facing this size you need at least 33% equity to call (pot odds), and you need to defend half your range (MDF). However, your opponent is clearly under-bluffing. You have a pure bluff catcher that's in the top half of your range."",
  ""Questions"": ""Should you call to prevent them from exploiting you? Or should you fold given that they're too value-heavy?"",
  ""Graph Explanation"": null
}
```"
513,"```json
{
  ""Page Number"": 149,
  ""Content"": ""Advanced Concepts\nMDF VS POT ODDS\nPot Odds >> MDF\nCorrect answer\nB: Fold\nYou don't have enough equity to profitably call this bet.""
}
```"
514,"```json
{
  ""Page Number"": 149,
  ""Content"": ""This is probably the most common way people misuse game theory. If a hand is not profitable to call, then don't call."",
  ""Graph Explanation"": ""The graph displays a GTO (Game Theory Optimal) strategy facing a 230% shove on a board with AQ428. The matrix shows different poker hands and their recommended actions. The hands are categorized by combinations such as AA, AKs, etc., with 's' indicating suited hands and 'o' indicating offsuit hands. Color-coding is likely used to suggest different actions (e.g., fold, call, or raise), though the exact color-action mapping is not provided here.""
}
```"
515,"```json
{
    ""Page Number"": 149,
    ""Content"": ""MDF is designed to prevent them from exploiting you by over-bluffing, but that isn't relevant if they're clearly not bluffing enough."",
    ""Graph Explanation"": ""The matrix shows a poker strategy adjustment for when the villain bluffs 5% less often than expected. Each cell represents a hand or hand range strategy. Hands like AKo, KQo, and others are highlighted, suggesting different strategies for these holdings. Specific sections are shaded blue, indicating a change or focus for those hands, and green, possibly suggesting an aggressive action or call vs. fold decision.""
}
```"
516,"```json
{
  ""pageNumber"": 149,
  ""content"": ""A solver will snap-fold any hand without correct pot odds to call (on the river) regardless of MDF because calling is simply not profitable.\n\nThis is especially true facing polarized betting ranges."",
  ""graphExplanation"": ""The graph displays a strategy matrix for poker hands versus bluffs with the reduced bluffing frequency of 5%. Hands like AA (Ace-Ace) and KK (King-King) are highlighted, indicating they are strong hands that might be played aggressively even with the reduced bluffing. Other pairs of suited cards like AKs (Ace-King suited) and AQs (Ace-Queen suited) are also included. The matrix uses a range of numeric and letter codes to represent various poker hands, illustrating what hands can continue with the same strategy as part of facing a polarized range. The strategy is adjusted based on the odds and bluffs, indicating a folding or continuation strategy as suggested by the solver analysis.""
}
```"
517,"```json
{
  ""page_number"": 150,
  ""content"": ""[Theory] Both players are dealt one random card out of a deck containing 3 cards: Ace, King, Queen. The pot is $1000 with $500 behind. OOP block-bets 25% pot with: {100% Ace, 40% King, 20% Queen}. How does block-betting improve OOP's strategy?"",
  ""questions"": ""How does block-betting improve OOP's strategy?"",
  ""graph_explanation"": {
    ""graph1"": ""The graph is a grid displaying combinations of hands such as AA, AKs, AQs, AKo, KK, KQs, AQo, KQo, and QQ. The background colors indicate different strategic actions: some combinations are highlighted in unique colors suggesting diverse strategic approaches. For example, 'KK' is highlighted among the different combinations suggesting its role in the strategy under consideration.""
  }
}
```"
518,"```json
{
  ""Page Number"": 150,
  ""Content"": ""Advanced Concepts AKQ GAME BLOCK-BET\nOOP Hand | Range check | With block-bet\nAce | $1,083.30 | $1,094.40\nKing | $333.30 | $333.30\nQueen | $0.00 | $0.00\nTotal Average EV: | $472.20 | $475.90\nCorrect answer\nC: Block-betting increases the EV of AA"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""title"": ""AKQ GAME BLOCK-BET"",
      ""columns"": [""OOP Hand"", ""Range check"", ""With block-bet""],
      ""rows"": [
        {""OOP Hand"": ""Ace"", ""Range check"": ""$1,083.30"", ""With block-bet"": ""$1,094.40""},
        {""OOP Hand"": ""King"", ""Range check"": ""$333.30"", ""With block-bet"": ""$333.30""},
        {""OOP Hand"": ""Queen"", ""Range check"": ""$0.00"", ""With block-bet"": ""$0.00""}
      ],
      ""total_average_ev"": {""Range check"": ""$472.20"", ""With block-bet"": ""$475.90""}
    }
  }
}
```"
519,"```json
{
  ""Page Number"": 150,
  ""Content"": ""It is true that when you block bet a King you expect to face less aggression. This is because we've set the price, and IP's minimum raise size can only include a small fraction of bluffs.\n\nHowever, this also means that your King extracts less value picking off bluffs against villain’s Queen, so the end result is the same EV for KK."",
  ""Graph Explanation"": {
    ""Graph1"": {
      ""Title"": ""IP strategy facing block-bet"",
      ""Details"": ""The graph shows a matrix with possible hands and their strategic implications when facing a block-bet.\n\n- AA (Top left): Orange\n- AKs (Top middle): Light Orange\n- AQs (Top right): Gray\n- AKo (Middle left): Gray\n- KK (Middle middle): Green\n- KQs (Middle right): Light Blue\n- AQo (Bottom left): Gray\n- KQo (Bottom middle): Gray\n- QQ (Bottom right): Blue""
    }
  }
}
```"
520,"```json
{
  ""Page Number"": 150,
  ""Content"": ""The reason block betting adds EV to OOP's strategy is that OOP extracts more value with AA by getting called or bluff-raised when IP has KK/QQ.\n\nIP needs to call and bluff-raise some portion of the time to make OOP indifferent.\n\nThe moral of the story: When villain reacts to your block-bet correctly it should increase the value of your nutted hands.\n\nThis concept comes up a lot on 4-flush boards where one-card blockers to the nuts become important."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""IP frequency (when OOP holds/blocks AA)"",
      ""RAISE"": ""50 (16.7%), 0.1 combos, 3.33%"",
      ""CALL"": ""0.6 combos, 30.00%"",
      ""FOLD"": ""1.3 combos, 66.67%""
    }
  }
}
```"
521,"```json
{
  ""Page Number"": 151,
  ""Content"": ""[Theory] Hero (IP) is playing the [0, 1] game. In this game, each player is dealt a random number between 0 and 1 and the highest number wins. OOP is forced to check. IP can shove half-pot or check. What's the weakest hand you bet for value? What's the strongest hand you bluff?"",
  ""Questions"": ""What's the weakest hand you bet for value? What's the strongest hand you bluff?"",
  ""Graph Explanation"": {
    ""graph1"": ""Option A: Weakest value bet: 0.80, Strongest bluff: 0.07"",
    ""graph2"": ""Option B: Weakest value bet: 0.70, Strongest bluff: 0.10"",
    ""graph3"": ""Option C: Weakest value bet: 0.65, Strongest bluff: 0.11"",
    ""graph4"": ""Option D: Weakest value bet: 0.60, Strongest bluff: 0.13""
  }
}
```"
522,"```json
{
  ""Page Number"": 151,
  ""Graph Explanation"": {
    ""graph1"": {
      ""Hand Strength"": {
        ""1.0 - 0.9"": {
          ""OOP"": ""Green"",
          ""IP"": ""Green""
        },
        ""0.9 - 0.8"": {
          ""OOP"": ""Green"",
          ""IP"": ""Red"",
          ""Comment"": ""Weakest value bet""
        },
        ""0.8 - 0.7"": {
          ""OOP"": ""Green"",
          ""IP"": ""Green"",
          ""Comment"": ""Strongest Check""
        },
        ""0.7 - 0.6"": {
          ""OOP"": ""Green"",
          ""IP"": ""Green""
        },
        ""0.6 - 0.5"": {
          ""OOP"": ""Green"",
          ""IP"": ""Green""
        },
        ""0.5 - 0.4"": {
          ""OOP"": ""Blue"",
          ""Comment"": ""Weakest call"",
          ""IP"": ""Green""
        },
        ""0.4 - 0.3"": {
          ""OOP"": ""Blue"",
          ""IP"": ""Green""
        },
        ""0.3 - 0.2"": {
          ""OOP"": ""Blue"",
          ""IP"": ""Green""
        },
        ""0.2 - 0.1"": {
          ""OOP"": ""Blue"",
          ""IP"": ""Green"",
          ""Comment"": ""Weakest Check""
        },
        ""0.1 - 0.0"": {
          ""OOP"": ""Blue"",
          ""IP"": ""Red"",
          ""Comment"": ""Strongest Bluff""
        }
      },
      ""Indifference Region"": ""Indifferent value, Indifferent bluffs""
    }
  },
  ""Questions"": ""Correct answer"",
  ""Content"": ""B: Weakest value bet: 0.7, Strongest bluff: 0.10""
}
```"
523,"```json
{
  ""Page Number"": 151,
  ""Content"": ""s = bet/pot = 50% f = strongest hand that folds v = weakest value bet b = strongest bluff.\n\nWhen working with toy games we often try to make villain's bluffs indifferent.\nHowever, in practice, you're usually trying to make their strongest bluff indifferent, and their weakest value bet indifferent between betting and checking.\n\nSo the goal is to find those points of indifference, v, b, f.\n\nThe general equation is shown above, but let's try and make this more intuitive:"",
  ""Graph Explanation"": {
    ""Equation"": ""{ f = \\frac{b+s}{1+s}, v = \\frac{1+f}{2}, b = (1 - v) \\cdot \\frac{s}{1+s} }"",
    ""Explanation"": ""This equation represents the points of indifference. 'f' denotes the strongest hand that folds, 'v' is the weakest value bet, and 'b' is the strongest bluff. 's' represents the bet/pot ratio, set at 50%.""
  }
}
```"
524,"```json
{
  ""Page Number"": 151,
  ""Content"": ""The weakest value bet needs at least 50% equity when called. Writing this as a function of the strongest hand villain folds: v = (1 + f)/2\n\nWe need to lay 3:1 pot odds for a half-pot bet, so a quarter of our range should be bluffs.\n\nThe strongest bluff is then 1/3 of the value region, b = (1-v)/3\n\nApply the minimum defense frequency to the region of hands that beats a bluff.\nMDF for a half-pot bet is 2/3, so two-thirds of hands which are better than b should call:\nf = 1 - (2/3 * (1-b))\n\nNow we have 3 unknown variables and 3 equations. Solving this system of equations yields the indifference points b, v, and f."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph presents the equations and variables related to bluff and value bet frequency in a poker game:\n- b = 1/10: Represents the bluff frequency.\n- f = 2/5: Represents the fold frequency.\n- s = 1/2: Represents the frequency of certain actions or outcomes.\n- v = 7/10: Represents the variable describing the strongest hand the villain folds.""
  }
}
```"
525,"```json
{
  ""Page Number"": 524,
  ""Content"": ""WEEKLY LIVE COACHING\n\nDeepen your understanding of advanced poker concepts by joining GTO Wizard's Weekly Coaching. Here, you can engage with experts on complex topics like ICM, nodelocking, and solver-based exploits, turning theory into practical technique."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
526,"```json
{
  ""Page Number"": 525,
  ""Content"": ""EQUITY"",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
527,"```json
{
  ""Page Number"": 526,
  ""Content"": ""Chapter 6 will delve into the influence of equity distributions on your strategy in poker. Equity, which represents the likelihood of winning a hand assuming the pot is checked down, can be thought of as your expected “share” of the pot.\n\nVarious methods of equity analysis exist in poker, but we will concentrate on four primary techniques: Range Morphology, Equity Distribution Graphs, Equity Realization, and Equity Buckets.\n\nExamining the relationship between equity distributions and GTO strategy can provide insight into the fundamental principles of poker theory."",
  ""Graph Explanation"": ""The graph appears to visually represent equity distribution concepts, potentially illustrating the breakdown into different techniques such as Range Morphology, Equity Distribution Graphs, Equity Realization, and Equity Buckets. Each section of the pie chart may correspond to one of these methodologies, emphasizing their proportionate significance or application in poker strategy.""
}
```"
528,"```json
{
  ""Page Number"": 152,
  ""Content"": ""If you've made it this far, you've earned a break! This Daily Dose was originally made as an April Fools joke, but we thought you'd appreciate the memes :)""
}
```"
529,"```json
{
  ""Page Number"": 152,
  ""Content"": ""Cold-calling the SB\nNO!!! You can't call in the SB! You have to 3-bet/fold!\nYou can call in the SB\nYou can call in the SB\nIQ score\n55\n70\n85\n100\n115\n130\n145\n0.1%\n2%\n14%\n34%\n34%\n14%\n2%\n0.1%"",
  ""Graph Explanation"": ""The graph is a bell curve illustrating different IQ scores along with their distribution percentages, showcasing the debate on cold-calling in the small blind (SB). Characters with various expressions comment on the strategy, with opposing views highlighted: one side emphasizing the need to 3-bet or fold, while the other states you can call in the SB. The IQ scores range from 55 to 145, with percentages for each segment (0.1%, 2%, 14%, 34%, 34%, 14%, 2%, 0.1%).""
}
```"
530,"```json
{
  ""Page Number"": 152,
  ""Content"": ""When you peak at the first card"",
  ""Graph Explanation"": {
    ""Images"": [
      {
        ""Description"": ""The image is a meme showing a person holding a sword hilt with a card labeled 'A' on top and 'A4' when unsheathed further. It humorously depicts the surprise of having a seemingly good card (Ace) followed by a less favorable one (Ace-Four) in poker.""
      }
    ]
  }
}
```"
531,"```json
{
  ""Page Number"": 152,
  ""Content"": ""One does not simply give up the river when you miss your straight flush draw"",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
532,"```json
{
  ""page_number"": 153,
  ""content"": ""The term \""equity\"" is ubiquitous throughout poker. But what does equity actually mean?\n\nA: Equity refers to what percentage of the pot you expect to win\nB: Equity refers to how often you expect to win\nC: Equity refers to how often you expect to win if the pot were checked down\nD: Equity refers to your fair \""share\"" of the pot"",
  ""questions"": ""The term \""equity\"" is ubiquitous throughout poker. But what does equity actually mean?"",
  ""graph_explanation"": ""The page contains a graphical representation, likely illustrating different proportions or concepts related to poker equity in a pie chart format. Different segments in colors such as purple and orange may represent various categories or scenarios of equity distribution.""
}
```"
533,"```json
{
  ""page_number"": 153,
  ""content"": ""Correct answer\nC: Equity refers to how often you expect to win if the pot were checked down"",
  ""questions"": null,
  ""graph_explanation"": null
}
```"
534,"```json
{
  ""pageNumber"": 153,
  ""content"": ""Equity is the percentage of the pot you'd win if the hand were checked down, factoring in ties. There are different kinds of equity measurements, such as hand vs hand, range vs range, or hand vs range. Equity more loosely refers to the value of a hand. However, factors such as equity realization can influence how much you actually expect to win."",
  ""questions"": null,
  ""graphExplanation"": null
}
```"
535,"```json
{
  ""Page Number"": 153,
  ""Content"": ""Your \""true equity\"", in the sense an investor uses the term, would be your expected value divided by the pot.\n\nHowever, you cannot expect to win your \""fair share\"" of the pot if there are actions on future streets.\n\nPostflop factors such as positional, range, and nut advantages can give an edge to one player, skewing the EV in their favor."",
  ""Questions"": """",
  ""Graph Explanation"": """"
}
```"
536,"```json
{
  ""Page Number"": 154,
  ""Content"": ""GTO Wizard gives you the ability to break down equity into buckets for further analysis. The following situation is taken from a BB (left) vs CO (right) spot."",
  ""Questions"": ""How would you describe CO's range shape relative to BB? A: Linear B: Polarized C: Merged D: Depolarized / Condensed"",
  ""Graph Explanation"": {
    ""graph1"": ""EQ Buckets - Simple: This graph categorizes equity into four types of hands with their respective percentages. The categories are Best Hands (1.7% vs 68.8%), Good Hands (2.9% vs 0%), Weak Hands (82.7% vs 0%), and Trash Hands (12.7% vs 31.2%). Left numbers represent BB and right numbers represent CO.""
  }
}
```"
